time,CO2
1958.167,316.100
1958.250,317.200
1958.333,317.433
1958.417,317.433
1958.500,315.625
1958.583,314.950
1958.667,313.500
1958.750,313.500
1958.833,313.425
1958.917,314.700
1959.000,315.500
1959.083,316.700
1959.167,316.733
1959.250,317.675
1959.333,318.325
1959.417,318.025
1959.500,316.525
1959.583,314.900
1959.667,313.825
1959.750,313.400
1959.833,314.875
1959.917,315.525
1960.000,316.380
1960.083,316.975
1960.167,317.575
1960.250,319.120
1960.333,319.925
1960.417,319.450
1960.500,318.060
1960.583,315.775
1960.667,314.175
1960.750,313.840
1960.833,315.025
1960.917,316.200
1961.000,316.925
1961.083,317.650
1961.167,318.525
1961.250,319.420
1961.333,320.475
1961.417,319.750
1961.500,318.320
1961.583,316.775
1961.667,315.040
1961.750,315.350
1961.833,316.050
1961.917,316.980
1962.000,317.925
1962.083,318.625
1962.167,319.680
1962.250,320.550
1962.333,320.900
1962.417,320.500
1962.500,319.425
1962.583,317.733
1962.667,316.067
1962.750,315.475
1962.833,316.550
1962.917,317.525
1963.000,318.725
1963.083,318.967
1963.167,319.860
1963.250,321.275
1963.333,322.100
1963.417,321.460
1963.500,319.600
1963.583,317.600
1963.667,316.150
1963.750,316.050
1963.833,317.000
1963.917,318.350
1964.000,319.400
1964.083,319.400
1964.167,319.100
1964.250,319.400
1964.333,322.000
1964.417,321.750
1964.500,320.300
1964.583,318.500
1964.667,316.600
1964.750,316.960
1964.833,317.725
1964.917,318.675
1965.000,319.400
1965.083,320.450
1965.167,320.925
1965.250,322.000
1965.333,322.060
1965.417,321.775
1965.500,321.040
1965.583,318.725
1965.667,317.825
1965.750,317.340
1965.833,318.875
1965.917,319.325
1966.000,320.540
1966.083,321.575
1966.167,322.375
1966.250,323.660
1966.333,324.025
1966.417,323.700
1966.500,322.850
1966.583,320.200
1966.667,318.700
1966.750,318.180
1966.833,319.900
1966.917,321.060
1967.000,322.400
1967.083,322.425
1967.167,323.000
1967.250,324.280
1967.333,324.950
1967.417,324.075
1967.500,322.480
1967.583,320.850
1967.667,319.300
1967.750,319.450
1967.833,320.675
1967.917,321.920
1968.000,322.550
1968.083,323.050
1968.167,323.920
1968.250,324.975
1968.333,325.475
1968.417,325.260
1968.500,324.025
1968.583,321.940
1968.667,320.250
1968.750,320.275
1968.833,321.320
1968.917,322.925
1969.000,323.925
1969.083,324.275
1969.167,325.600
1969.250,326.575
1969.333,327.280
1969.417,326.550
1969.500,325.800
1969.583,323.540
1969.667,322.400
1969.750,321.800
1969.833,322.820
1969.917,324.125
1970.000,325.080
1970.083,326.025
1970.167,327.000
1970.250,328.075
1970.333,327.920
1970.417,327.550
1970.500,326.300
1970.583,324.660
1970.667,323.150
1970.750,323.140
1970.833,324.050
1970.917,325.100
1971.000,326.140
1971.083,326.650
1971.167,327.200
1971.250,327.675
1971.333,328.820
1971.417,328.475
1971.500,327.220
1971.583,325.250
1971.667,323.400
1971.750,323.540
1971.833,324.825
1971.917,325.925
1972.000,326.720
1972.083,327.625
1972.167,327.725
1972.250,329.640
1972.333,330.000
1972.417,329.075
1972.500,328.040
1972.583,326.250
1972.667,324.860
1972.750,325.300
1972.833,326.425
1972.917,327.540
1973.000,328.550
1973.083,329.475
1973.167,330.380
1973.250,331.575
1973.333,332.400
1973.417,331.940
1973.500,330.650
1973.583,329.325
1973.667,327.500
1973.750,327.225
1973.833,328.050
1973.917,328.640
1974.000,329.325
1974.083,330.625
1974.167,331.500
1974.250,332.625
1974.333,332.975
1974.417,332.160
1974.500,331.075
1974.583,329.220
1974.667,327.375
1974.750,327.375
1974.833,328.400
1974.917,329.675
1975.000,330.250
1975.083,331.300
1975.167,332.000
1975.250,333.275
1975.333,333.860
1975.417,333.400
1975.500,331.800
1975.583,329.980
1975.667,328.525
1975.750,328.325
1975.833,329.440
1975.917,330.775
1976.000,331.740
1976.083,332.550
1976.167,333.450
1976.250,334.450
1976.333,334.760
1976.417,334.400
1976.500,332.860
1976.583,330.725
1976.667,329.350
1976.750,329.100
1976.833,330.350
1976.917,331.625
1977.000,332.880
1977.083,333.425
1977.167,334.700
1977.250,336.040
1977.333,336.675
1977.417,336.200
1977.500,334.800
1977.583,332.875
1977.667,331.575
1977.750,331.200
1977.833,332.350
1977.917,333.860
1978.000,335.025
1978.083,335.350
1978.167,336.600
1978.250,337.640
1978.333,337.950
1978.417,337.925
1978.500,336.500
1978.583,334.650
1978.667,332.740
1978.750,332.650
1978.833,333.825
1978.917,334.960
1979.000,336.225
1979.083,336.700
1979.167,338.000
1979.250,338.875
1979.333,339.375
1979.417,339.240
1979.500,337.525
1979.583,336.025
1979.667,333.980
1979.750,333.950
1979.833,335.150
1979.917,336.660
1980.000,337.925
1980.083,338.225
1980.167,340.060
1980.250,340.750
1980.333,341.340
1980.417,340.950
1980.500,339.375
1980.583,337.600
1980.667,335.875
1980.750,336.025
1980.833,337.060
1980.917,338.200
1981.000,339.220
1981.083,340.450
1981.167,341.400
1981.250,342.450
1981.333,342.820
1981.417,342.125
1981.500,340.425
1981.583,338.400
1981.667,336.700
1981.750,336.940
1981.833,338.425
1981.917,339.600
1982.000,340.700
1982.083,341.550
1982.167,342.675
1982.250,343.475
1982.333,343.960
1982.417,343.300
1982.500,341.920
1982.583,339.625
1982.667,338.025
1982.750,337.900
1982.833,339.275
1982.917,340.425
1983.000,341.340
1983.083,342.500
1983.167,343.150
1983.250,344.900
